"Exp2-Old-Bst2-neg_1" "Exp2-Old-Bst2-neg_2" "Exp2-Old-Bst2-neg_3" "Exp2-Old-Bst2-neg_4" "Exp2-Old-Bst2-pos_1" "Exp2-Old-Bst2-pos_2" "Exp2-Old-Bst2-pos_3" "Exp2-Old-Bst2-pos_4"
"1700012P22Rik" 0 0 0 0 0 0 0 0
"1700013D24Rik" 0 0 0 0 0 0 0 0
"1700013F07Rik" 0 0 35 0 0 0 0 0
"1700013G24Rik" 0 0 0 0 0 0 0 0
"1700013H16Rik" 1 0 0 0 0 0 0 0
"1700015E13Rik" 0 0 0 0 0 0 0 0
"1700015F17Rik" 0 0 0 0 0 5 0 0
"1700015G11Rik" 0 0 0 0 0 0 0 0
"1700016C15Rik" 0 0 0 1 0 0 0 0
"1700016D06Rik" 0 33 0 0 0 0 0 0
"1700016G22Rik" 0 0 0 0 0 0 0 0
"1700016H13Rik" 34 0 0 0 0 0 0 0
"1700016K19Rik" 0 0 0 0 0 0 0 0
"1700016L04Rik" 6 0 0 0 0 2 0 0
"1700016L21Rik" 0 0 0 0 0 0 0 0
"1700016P04Rik" 0 0 0 0 0 0 0 0
"1700017B05Rik" 29 20 140 223 26 171 146 248
"1700017D01Rik" 0 0 0 0 0 0 0 0
"1700017G19Rik" 0 2 0 0 0 0 0 4
"1700017J07Rik" 0 31 0 0 0 0 0 0
"1700017L05Rik" 0 0 0 0 0 0 0 0
"1700017N19Rik" 0 1 1 0 0 0 0 0
"1700018A04Rik" 0 0 0 0 0 0 0 0
"1700018B08Rik" 0 0 0 0 0 0 0 0
"1700018B24Rik" 1 0 0 0 0 0 0 0
"1700018C11Rik" 0 0 0 0 0 0 0 0
"1700018F24Rik" 0 0 0 0 0 0 2 0
"1700018G05Rik" 0 0 0 0 0 0 0 0
"1700018L02Rik" 1 0 34 0 26 0 0 1
"1700019A02Rik" 0 0 12 0 0 0 3 0
"1700019B03Rik" 0 0 0 1 0 0 0 0
"1700019B21Rik" 0 0 0 0 0 0 0 0
"1700019C18Rik" 0 0 0 0 0 0 0 0
"1700019D03Rik" 0 8 1 0 38 7 30 79
"1700019E08Rik" 0 0 0 0 0 0 0 0
"1700019G17Rik" 0 1 0 1 7 1 0 0
"1700019G24Rik" 0 0 0 0 0 0 0 0
"1700019L03Rik" 1 21 0 0 0 0 0 0
"1700019M22Rik" 0 0 0 0 0 0 0 0
"1700019N19Rik" 0 0 0 0 0 0 0 0
"1700019O17Rik" 0 0 0 0 0 1 1 1
"1700020A23Rik" 0 0 0 0 0 0 0 0
"1700020D05Rik" 0 0 4 0 0 0 0 0
"1700020D14Rik" 0 0 0 0 0 0 0 0
"1700020G17Rik" 0 0 0 0 0 0 0 0
"1700020I14Rik" 1642 780 1484 753 799 417 1095 1033
"1700020L24Rik" 0 0 1 0 0 0 0 0
"1700020M21Rik" 0 0 0 0 0 0 0 0
"1700020N01Rik" 0 0 0 0 0 0 0 0
"1700020N15Rik" 0 0 0 0 0 0 0 0
"1700020N18Rik" 0 0 0 0 0 0 0 0
"1700021F05Rik" 1345 908 1075 1263 1421 787 1362 1750
"1700021F07Rik" 0 0 0 0 0 0 0 0
"1700021K19Rik" 98 126 8 261 17 23 20 74
"1700021N21Rik" 31 0 0 2 54 0 0 0
"1700022A21Rik" 0 0 0 0 0 0 0 0
"1700022A22Rik" 0 1 0 0 0 0 0 0
"1700022E09Rik" 0 0 0 0 0 0 0 0
"1700022H01Rik" 0 0 0 0 24 0 11 0
"1700022H16Rik" 0 0 0 0 0 0 0 0
"1700022I11Rik" 2 0 1 54 0 0 0 0
"1700023C21Rik" 0 0 0 0 0 0 0 0
"1700023F02Rik" 0 0 0 0 0 0 0 0
"1700023F06Rik" 0 1 1 1 9 0 0 0
"1700024B18Rik" 0 0 0 0 0 0 0 0
"1700024F13Rik" 0 0 57 0 0 10 0 19
"1700024G13Rik" 1 0 0 0 0 0 0 0
"1700024I08Rik" 0 0 0 1 0 0 0 0
"1700024N05Rik" 0 0 0 0 0 0 0 0
"1700024P04Rik" 0 0 0 0 0 0 0 0
"1700024P16Rik" 0 1 0 0 0 0 1 0
"1700025B11Rik" 0 0 0 1 0 0 0 0
"1700025C18Rik" 0 0 0 0 0 0 0 0
"1700025F22Rik" 0 0 0 0 0 0 0 0
"1700025F24Rik" 0 0 0 0 0 0 0 1
"1700025G04Rik" 164 183 267 279 253 134 223 121
"1700025J12Rik" 0 0 0 1 0 0 0 0
"1700025K24Rik" 0 0 0 0 0 0 0 0
"1700025M24Rik" 1 0 0 0 0 0 0 0
"1700025N23Rik" 0 0 0 0 0 0 0 0
"1700026D08Rik" 0 0 0 0 0 0 0 0
"1700026D11Rik" 0 0 0 0 0 0 0 0
"1700026F02Rik" 0 0 0 0 0 0 0 0
"1700026J14Rik" 0 0 0 61 30 1 10 108
"1700026L06Rik" 0 12 0 0 0 4 0 44
"1700027A15Rik" 0 0 0 0 0 0 0 0
"1700027F06Rik" 0 0 0 0 0 0 0 0
"1700027F09Rik" 0 0 0 0 0 0 0 0
"1700027H10Rik" 0 10 0 0 0 14 0 0
"1700027I24Rik" 0 0 0 0 0 0 0 0
"1700027J07Rik" 0 0 0 0 0 0 0 1
"1700028B04Rik" 0 1 0 0 1 0 0 2
"1700028D13Rik" 0 0 0 0 0 0 0 0
"1700028E10Rik" 54 0 20 63 12 16 15 136
"1700028I16Rik" 0 0 0 0 0 0 0 0
"1700028J19Rik" 84 94 116 68 1 36 0 0
"1700028K03Rik" 2 0 0 43 0 45 0 4
"1700028M03Rik" 0 0 0 0 0 0 0 0
"1700028P14Rik" 0 0 0 0 1 0 0 1
"1700028P15Rik" 0 0 0 0 0 0 0 0
"1700029B22Rik" 0 0 1 0 0 0 0 0
"1700029F12Rik" 0 0 0 0 0 0 2 0
"1700029H14Rik" 0 0 0 0 0 5 0 0
"1700029I15Rik" 1 0 0 0 15 0 0 0
"1700029J03Rik" 0 0 0 0 0 0 0 0
"1700029J07Rik" 367 501 428 432 357 233 475 774
"1700029M20Rik" 0 0 0 1 0 0 0 0
"1700029N11Rik" 0 0 0 0 0 0 0 0
"1700029P11Rik" 0 0 0 0 0 0 0 0
"1700030A11Rik" 0 0 0 0 0 0 1 0
"1700030C10Rik" 0 0 0 0 0 0 0 1
"1700030F04Rik" 0 0 0 0 0 0 0 0
"1700030F18Rik" 0 0 0 0 0 0 0 0
"1700030J22Rik" 6 0 1 0 21 0 65 1
"1700030K09Rik" 179 36 320 101 93 268 110 45
"1700030L20Rik" 0 0 0 0 0 0 0 0
"1700030M09Rik" 0 0 0 0 0 0 0 0
"1700030N03Rik" 0 0 0 0 0 0 0 0
"1700030O20Rik" 0 0 0 0 0 0 0 0
"1700031A10Rik" 0 0 0 0 0 0 0 0
"1700031F05Rik" 0 0 0 0 0 0 0 1
"1700031M16Rik" 0 0 0 0 0 0 0 1
"1700031P21Rik" 0 0 0 0 0 0 0 0
"1700034E13Rik" 0 0 0 0 0 0 0 0
"1700034G24Rik" 0 0 0 0 0 0 0 2
"1700034H15Rik" 0 2 0 0 163 1 0 27
"1700034I23Rik" 0 0 0 0 0 0 0 0
"1700034J05Rik" 0 0 0 0 0 0 0 0
"1700034K08Rik" 0 0 0 0 0 1 1 1
"1700034O15Rik" 0 0 0 0 0 0 0 0
"1700034P13Rik" 19 39 24 1 0 0 54 32
"1700036G14Rik" 0 0 0 0 0 0 0 0
"1700037C18Rik" 95 18 155 78 52 2 68 0
"1700037H04Rik" 1564 890 1559 1101 1279 643 2131 1059
"1700039E15Rik" 1 0 0 0 0 1 0 0
"1700039E22Rik" 0 0 1 0 0 0 0 0
"1700040L02Rik" 0 0 0 0 43 9 0 0
"1700041A01Rik" 0 0 0 0 0 0 0 0
"1700041C23Rik" 0 0 0 0 0 0 0 0
"1700041M19Rik" 0 0 0 1 0 0 0 0
"1700042G07Rik" 0 0 0 0 0 0 0 0
"1700042G15Rik" 0 0 1 0 0 0 0 0
"1700042O10Rik" 0 0 0 1 0 0 0 1
"1700044C05Rik" 0 0 0 0 0 0 0 0
"1700044K03Rik" 0 0 0 0 0 0 0 0
"1700045H11Rik" 0 0 0 0 0 0 0 0
"1700046C09Rik" 0 0 0 0 0 0 0 0
"1700047A11Rik" 13 9 3 9 3 1 7 1
"1700047E10Rik" 0 0 5 0 0 0 0 0
"1700047G03Rik" 0 0 0 0 0 0 0 0
"1700047I17Rik2" 0 0 0 0 0 0 0 0
"1700047L14Rik" 0 0 0 0 0 0 0 0
"1700047M11Rik" 0 0 0 0 0 0 0 0
"1700048M11Rik" 0 0 0 0 0 6 0 11
"1700048O20Rik" 356 189 38 514 438 227 430 411
"1700049E15Rik" 0 1 0 0 0 0 0 1
"1700049E22Rik" 0 0 0 0 0 0 0 0
"1700049G17Rik" 8 121 320 34 69 64 168 105
"1700049L16Rik" 0 0 0 0 0 0 0 0
"1700051A21Rik" 9 0 2 0 0 0 0 0
"1700052I22Rik" 0 0 0 0 0 0 0 0
"1700052K11Rik" 47 0 39 49 76 1 84 22
"1700054A03Rik" 0 0 0 0 0 0 0 0
"1700054K19Rik" 0 0 0 1 0 0 0 0
"1700054M17Rik" 0 0 0 0 0 0 0 0
"1700055C04Rik" 0 0 0 0 0 0 1 0
"1700056E22Rik" 37 49 66 0 14 8 0 21
"1700057G04Rik" 0 0 0 0 0 0 2 0
"1700057H15Rik" 0 0 0 0 0 0 0 39
"1700057H21Rik" 0 0 0 0 0 0 0 0
"1700060C16Rik" 0 0 0 0 0 0 1 0
"1700060C20Rik" 2 0 0 0 0 0 0 0
"1700061F12Rik" 0 0 0 0 0 0 0 0
"1700061G19Rik" 2 7 0 0 0 0 0 0
"1700061I17Rik" 0 0 0 0 0 0 0 0
"1700061J23Rik" 0 0 0 0 0 0 0 0
"1700063A18Rik" 0 0 0 0 0 0 0 0
"1700063D05Rik" 0 19 0 0 0 9 58 0
"1700063O14Rik" 0 0 0 0 0 0 0 0
"1700064J06Rik" 0 0 0 0 0 0 0 0
"1700064M15Rik" 0 11 47 0 23 0 0 19
"1700065D16Rik" 0 11 55 29 8 2 6 3
"1700065I16Rik" 0 0 0 0 0 0 0 0
"1700065J11Rik" 0 0 0 0 0 0 0 0
"1700065J18Rik" 0 2 0 0 0 0 25 0
"1700065L07Rik" 0 0 0 0 0 0 0 0
"1700065O20Rik" 1 0 0 0 0 0 0 0
"1700066B17Rik" 8 6 0 0 0 0 0 1
"1700066B19Rik" 0 0 0 2 35 0 0 0
"1700066J03Rik" 0 0 3 0 0 3 0 0
"1700066M21Rik" 231 168 277 58 370 157 697 303
"1700066N21Rik" 0 0 0 0 0 0 0 0
"1700066O22Rik" 0 0 0 0 0 0 0 0
"1700067G17Rik" 0 0 0 0 0 0 0 0
"1700067K01Rik" 10 0 14 6 0 4 14 0
"1700067P10Rik" 0 0 0 0 0 0 0 0
"1700069L16Rik" 0 0 0 0 0 0 0 0
"1700069P05Rik" 0 0 0 0 0 0 0 0
"1700071K01Rik" 0 0 0 0 0 0 0 0
"1700071M16Rik" 0 0 0 0 0 0 0 0
"1700072B07Rik" 0 0 0 0 0 0 0 0
"1700072I22Rik" 0 0 0 0 0 0 0 0
"1700072O05Rik" 0 0 0 0 0 0 0 0
"1700073E17Rik" 0 1 0 0 1 0 0 0
"1700074H08Rik" 0 0 0 0 1 1 11 0
"1700074P13Rik" 0 0 0 0 0 0 0 0
"1700080E11Rik" 0 0 0 0 0 0 0 0
"1700080N15Rik" 0 0 0 0 5 0 5 0
"1700080O16Rik" 1 0 0 0 0 0 0 0
"1700081H04Rik" 0 0 0 0 0 0 0 0
"1700084C01Rik" 18 0 1 50 32 22 92 0
"1700084D21Rik" 0 0 0 0 0 0 0 0
"1700084E18Rik" 8 15 25 24 19 3 50 65
"1700084F23Rik" 0 0 0 0 0 0 0 0
"1700084J12Rik" 1 0 0 0 1 0 0 1
"1700084M14Rik" 0 0 0 0 0 0 0 0
"1700085C21Rik" 0 0 0 0 0 0 0 0
"1700086L19Rik" 63 36 81 41 149 162 252 29
"1700086O06Rik" 302 39 217 454 134 115 237 210
"1700088E04Rik" 9 11 8 27 27 1 24 30
"1700091H14Rik" 0 0 0 0 0 0 0 0
"1700092C02Rik" 0 0 0 0 0 0 0 0
"1700092C10Rik" 0 0 0 0 0 0 0 0
"1700092E19Rik" 0 0 0 0 0 0 0 0
"1700092K14Rik" 0 0 0 0 0 0 0 0
