"Exp2-Old-Bst2-neg_1" "Exp2-Old-Bst2-neg_2" "Exp2-Old-Bst2-neg_3" "Exp2-Old-Bst2-neg_4" "Exp2-Old-Bst2-pos_1" "Exp2-Old-Bst2-pos_2" "Exp2-Old-Bst2-pos_3" "Exp2-Old-Bst2-pos_4"
"Gm4724" 0 0 0 0 0 0 0 0
"Gm4736" 0 0 0 0 0 0 0 0
"Gm4737" 2 3 7 1 4 3 1 2
"Gm4759" 0 1 0 0 0 1 0 0
"Gm4763" 0 0 0 1 0 0 0 0
"Gm4787" 0 2 0 1 0 0 1 0
"Gm4788" 0 1 0 0 0 0 0 1
"Gm4791" 0 0 1 0 0 0 0 0
"Gm4792" 0 0 2 0 19 0 0 0
"Gm4794" 0 0 1 0 0 0 0 0
"Gm4814" 0 0 0 0 0 0 0 0
"Gm4827" 0 0 0 0 0 1 0 0
"Gm4832" 1 0 0 0 0 0 0 1
"Gm4836" 0 0 0 0 0 0 0 0
"Gm4841" 0 0 0 1 7 0 0 357
"Gm4846" 0 0 1 0 0 0 0 0
"Gm4847" 0 0 0 0 0 0 0 1
"Gm4850" 0 0 0 0 0 0 0 0
"Gm4858" 0 0 0 0 0 0 0 0
"Gm4861" 0 1 0 0 0 0 0 0
"Gm4871" 0 0 0 0 0 0 0 0
"Gm4872" 0 0 1 0 0 0 0 0
"Gm4884" 0 1 0 0 0 1 1 0
"Gm4890" 35 82 42 41 87 28 65 237
"Gm4894" 0 0 0 0 0 0 0 0
"Gm4906" 0 0 0 0 0 0 0 0
"Gm4907" 0 0 0 0 0 0 0 0
"Gm4922" 0 0 0 0 0 0 0 0
"Gm4925" 120 50 37 71 107 0 0 0
"Gm4926" 0 0 0 0 0 0 0 0
"Gm4944" 286 353 357 118 356 95 147 41
"Gm4951" 115 0 0 213 522 166 0 1206
"Gm4952" 0 0 0 2 0 1 0 0
"Gm4956" 0 0 0 0 0 1 0 0
"Gm4961" 0 0 56 0 0 2 5 0
"Gm4971" 0 0 0 0 0 0 0 0
"Gm4980" 5 0 1 0 0 10 17 8
"Gm4981" 0 0 1 2 0 0 0 0
"Gm4984" 0 0 0 0 0 8 0 0
"Gm5" 0 0 0 0 0 0 1 0
"Gm5039" 0 0 1 1 0 0 0 0
"Gm5065" 0 0 0 0 0 0 0 0
"Gm5069" 2 1 38 2 2 0 5 2
"Gm5071" 0 0 0 0 0 0 0 0
"Gm5072" 0 0 0 0 0 0 0 0
"Gm5082" 0 0 0 0 0 0 47 0
"Gm5083" 42 38 0 0 0 0 7 0
"Gm5084" 0 1 0 0 0 40 0 0
"Gm5086" 0 0 0 0 0 0 0 0
"Gm5087" 16 0 6 19 0 0 0 3
"Gm5088" 7 1 1 3 2 3 3 2
"Gm5089" 25 78 33 219 214 145 389 515
"Gm5091" 0 0 0 1 0 0 0 0
"Gm5095" 0 1 0 0 0 0 1 0
"Gm5105" 0 0 61 0 0 0 0 0
"Gm5108" 1 0 0 0 0 0 0 0
"Gm5111" 1 0 0 0 0 0 0 0
"Gm5113" 168 15 43 283 150 188 214 63
"Gm5114" 0 0 0 0 0 0 0 0
"Gm5122" 0 0 1 0 0 0 0 0
"Gm5124" 10 5 0 83 10 20 38 56
"Gm5126" 0 0 0 0 0 0 29 84
"Gm5127" 0 0 2 0 0 0 0 0
"Gm5128" 0 0 0 0 0 0 0 0
"Gm5129" 0 9 0 0 0 0 18 0
"Gm5132" 0 0 0 0 0 0 0 0
"Gm5134" 2 0 1 0 0 0 1 2
"Gm5136" 0 0 0 0 0 0 0 0
"Gm5141" 650 428 1071 1013 530 308 857 1258
"Gm5142" 0 0 0 0 0 0 0 0
"Gm5144" 0 0 0 0 0 0 0 0
"Gm5148" 34 33 23 28 20 22 47 50
"Gm5150" 0 0 0 0 0 0 0 1
"Gm5166" 0 0 0 0 0 0 0 0
"Gm5168" 0 0 0 0 0 0 0 0
"Gm5169" 0 0 0 0 0 0 0 0
"Gm5176" 1 0 0 2 2 12 3 1
"Gm5177" 1 0 2 1 3 2 4 1
"Gm525" 0 0 0 0 0 0 0 0
"Gm527" 29 70 90 75 0 0 54 0
"Gm5294" 0 0 0 0 0 0 1 0
"Gm53" 0 0 0 0 0 0 0 0
"Gm5334" 0 0 0 1 0 0 0 0
"Gm5346" 0 1 0 2 0 0 0 0
"Gm5347" 0 0 0 0 0 0 0 0
"Gm5382" 0 0 0 0 0 0 0 0
"Gm5409" 0 0 0 0 0 0 0 0
"Gm5414" 0 0 0 0 0 0 0 0
"Gm5415" 0 0 0 0 0 1 0 0
"Gm5416" 0 0 0 0 0 0 0 0
"Gm5420" 0 0 0 0 0 0 0 0
"Gm5424" 0 0 0 0 0 0 0 0
"Gm5431" 1 0 0 0 0 0 0 0
"Gm5434" 4 2 3 1 0 2 0 1
"Gm5441" 0 13 25 0 0 0 0 9
"Gm5458" 0 0 1 0 0 1 1 0
"Gm5460" 0 0 0 0 0 0 0 0
"Gm5464" 0 0 8 3 0 0 0 0
"Gm5468" 0 0 0 3 0 0 0 0
"Gm5475" 0 0 0 0 3 0 3 1
"Gm5476" 0 0 0 0 0 0 0 0
"Gm5477" 0 0 0 0 0 0 0 0
"Gm5478" 0 2 0 0 0 0 0 0
"Gm5483" 0 0 0 0 0 0 0 0
"Gm5485" 1 0 0 0 0 0 0 0
"Gm5512" 13 7 14 7 4 2 9 7
"Gm5523" 2 2 4 2 3 0 4 5
"Gm5532" 0 0 0 0 0 0 0 1
"Gm5535" 0 0 0 0 0 0 0 0
"Gm5538" 0 0 0 0 0 0 0 0
"Gm5544" 0 0 0 0 0 0 0 0
"Gm5547" 1 0 0 0 0 0 0 0
"Gm5549" 0 0 0 0 0 0 0 0
"Gm5577" 107 16 65 118 108 17 295 100
"Gm5591" 0 0 0 0 0 0 1 0
"Gm5592" 0 0 0 0 0 0 0 0
"Gm5595" 219 254 393 513 228 204 387 114
"Gm5607" 2000 1287 1180 1894 1333 1046 2917 1660
"Gm561" 413 287 318 502 302 201 432 424
"Gm5615" 0 0 0 0 0 0 0 0
"Gm5617" 271 101 172 224 239 136 284 292
"Gm5622" 0 0 0 0 0 0 0 0
"Gm5627" 0 0 0 0 0 0 0 1
"Gm5634" 0 0 0 0 0 0 0 0
"Gm5635" 0 0 0 0 0 0 0 0
"Gm5640" 0 0 0 0 0 0 0 0
"Gm5643" 9 9 13 6 7 7 6 7
"Gm5662" 0 0 0 0 0 0 1 0
"Gm5712" 0 0 0 0 0 0 0 0
"Gm572" 0 1 1 0 0 0 0 0
"Gm5725" 0 0 0 0 0 0 0 0
"Gm5726" 0 0 0 0 0 0 0 0
"Gm5728" 0 0 0 0 0 0 0 0
"Gm5741" 0 18 0 1 2 0 0 0
"Gm5766" 1 1 0 0 0 0 0 2
"Gm5771" 0 0 0 0 0 0 0 0
"Gm5779" 1 0 0 0 0 0 0 0
"Gm5795" 0 1 0 0 0 0 0 0
"Gm5796" 5 1 0 0 0 1 0 12
"Gm5797" 0 0 1 0 0 0 0 0
"Gm5800" 0 0 0 0 0 0 0 1
"Gm5801" 9 6 7 9 7 4 12 4
"Gm5803" 2 3 4 1 5 1 6 2
"Gm5820" 6 0 0 0 0 0 20 0
"Gm5833" 0 0 0 0 0 0 0 0
"Gm5860" 0 0 0 0 0 0 0 1
"Gm5861" 0 0 0 0 0 0 0 0
"Gm5862" 0 0 0 0 0 0 1 0
"Gm5868" 0 0 108 0 46 0 88 0
"Gm5878" 0 0 0 0 0 0 0 0
"Gm5885" 0 0 0 0 0 0 0 1
"Gm5886" 0 0 0 0 0 0 0 0
"Gm5891" 0 0 0 0 0 0 0 0
"Gm5893" 0 0 1 0 0 0 0 0
"Gm590" 0 0 0 0 0 0 0 0
"Gm5901" 0 0 0 0 0 0 0 0
"Gm5907" 1 4 0 0 0 0 0 1
"Gm5916" 0 0 0 0 0 0 0 0
"Gm5925" 0 0 0 0 0 0 0 0
"Gm5934" 0 0 0 0 0 0 0 0
"Gm5935" 0 0 0 0 0 0 0 0
"Gm5936" 0 0 0 0 0 0 0 0
"Gm5938" 0 0 0 0 0 0 0 0
"Gm5941" 0 0 0 0 0 0 0 0
"Gm595" 0 0 0 3 0 0 0 0
"Gm597" 0 0 0 0 0 0 0 0
"Gm6026" 0 0 0 0 0 0 0 0
"Gm6034" 0 0 0 0 0 0 0 0
"Gm6040" 1 0 0 0 0 0 0 0
"Gm6042" 0 0 0 0 0 0 0 0
"Gm608" 116 219 147 53 131 174 131 4
"Gm6083" 0 0 0 0 0 0 0 0
"Gm6086" 0 0 1 0 0 0 0 0
"Gm609" 0 1 0 0 0 0 0 0
"Gm6093" 0 0 0 0 0 0 1 1
"Gm6116" 0 14 0 0 0 0 0 22
"Gm6121" 0 0 0 0 0 0 0 0
"Gm614" 0 0 0 0 0 0 0 0
"Gm6150" 0 0 0 1 0 4 0 0
"Gm6164" 0 0 0 0 0 0 0 0
"Gm6182" 0 0 0 0 0 0 0 0
"Gm6194" 2 0 0 0 0 0 0 0
"Gm6213" 0 0 1 0 0 0 0 0
"Gm6225" 27 4 0 0 5 20 7 11
"Gm6249" 0 1 0 0 0 0 0 0
"Gm6251" 9 9 6 6 6 5 2 14
"Gm6260" 0 0 0 0 0 0 0 0
"Gm6268" 0 0 0 0 0 0 0 0
"Gm6277" 0 0 0 19 0 49 0 48
"Gm6297" 0 0 20 0 14 8 0 95
"Gm6300" 0 0 1 0 0 0 0 0
"Gm6307" 0 1 0 0 0 0 0 0
"Gm6313" 0 0 0 0 0 0 0 0
"Gm6329" 0 0 0 0 0 1 0 0
"Gm6367" 0 0 0 0 0 0 0 0
"Gm6370" 0 0 0 0 0 0 0 0
"Gm6377" 2 0 0 0 0 0 0 0
"Gm6402" 24 3 4 48 7 2 39 12
"Gm6408" 0 0 0 0 0 0 0 1
"Gm6416" 0 0 0 0 0 0 0 0
"Gm6455" 0 0 0 0 0 0 1 0
"Gm6460" 0 0 0 0 0 0 0 0
"Gm648" 13 0 0 0 0 2 0 0
"Gm6484" 0 0 0 0 0 0 0 0
"Gm6498" 7 1 41 7 2 7 5 4
"Gm6524" 0 0 0 1 1 1 1 0
"Gm6525" 2 0 2 2 12 35 58 3
"Gm6537" 0 0 0 0 0 0 0 0
"Gm6548" 37 129 84 5 76 2 68 140
"Gm6559" 0 0 0 0 0 0 5 0
"Gm6567" 41 23 23 1 30 27 0 0
"Gm6568" 1 0 0 0 1 0 0 1
"Gm6578" 1 0 1 2 0 0 2 0
"Gm6583" 0 0 0 0 0 0 0 0
"Gm6588" 0 0 0 0 0 0 0 0
"Gm6592" 0 0 0 0 0 0 7 0
"Gm6602" 0 0 0 0 0 0 1 0
"Gm6607" 0 0 1 0 0 0 0 0
"Gm6614" 0 0 3 0 0 0 0 0
"Gm6623" 0 2 1 2 0 0 3 1
"Gm6634" 0 0 0 0 0 0 0 0
"Gm6639" 0 1 0 0 0 0 1 0
"Gm6642" 0 23 0 0 0 0 0 0
"Gm6644" 0 0 0 0 0 0 0 0
"Gm6654" 3 19 0 28 37 4 2 6
"Gm6682" 13 5 12 32 9 3 16 16
"Gm6696" 0 0 0 2 0 0 0 0
"Gm6710" 0 0 0 0 0 0 0 0
"Gm6756" 0 1 0 0 0 0 2 0
"Gm6760" 0 0 0 0 0 0 0 0
"Gm6763" 0 0 0 0 0 0 0 0
"Gm6787" 84 0 24 6 0 2 0 0
"Gm6792" 0 0 0 0 0 0 1 0
"Gm6793" 0 0 0 0 0 0 0 0
"Gm6812" 0 0 0 0 0 0 0 0
"Gm6815" 0 1 0 0 0 0 11 1
"Gm684" 0 0 175 0 88 0 142 1
"Gm6878" 0 0 0 0 0 0 0 0
"Gm6880" 0 1 0 0 0 0 0 0
"Gm6890" 0 0 0 0 0 0 0 0
"Gm6902" 0 0 0 0 0 0 0 0
"Gm6904" 0 0 1 0 0 0 0 0
"Gm6936" 0 0 0 0 0 0 1 0
"Gm6938" 0 0 0 0 0 0 0 0
"Gm694" 0 0 0 0 0 0 0 0
"Gm6961" 0 0 0 0 0 0 0 0
"Gm6981" 53 0 41 71 1 1 2 2
"Gm6994" 0 9 0 0 0 0 0 0
"Gm7008" 1 7 0 10 0 0 24 13
"Gm7030" 0 0 0 0 0 0 0 0
"Gm7056" 0 0 0 0 0 0 0 0
"Gm7073" 0 0 0 0 0 0 0 0
"Gm7102" 4 3 4 1 5 2 3 3
"Gm7104" 0 0 0 0 0 0 0 0
"Gm7120" 77 181 188 71 51 27 48 15
"Gm7134" 0 0 0 0 0 0 0 0
"Gm715" 31 30 0 0 10 19 3 124
"Gm7168" 0 0 0 0 0 1 0 0
"Gm7173" 19 7 0 155 161 7 58 16
"Gm7244" 0 1 0 1 0 1 0 1
"Gm7257" 0 0 0 0 0 0 0 0
"Gm7271" 1 0 0 0 0 0 1 1
"Gm732" 0 0 0 0 0 0 0 0
"Gm7325" 0 0 0 0 0 0 0 0
"Gm7334" 0 0 0 0 0 0 0 0
"Gm7337" 0 0 0 0 0 0 0 0
"Gm7361" 0 0 0 0 0 0 0 0
"Gm7367" 0 0 0 0 0 0 0 0
"Gm7444" 2 1 0 0 0 1 0 0
"Gm7457" 0 0 0 0 0 0 0 0
"Gm7534" 1 2 0 1 0 0 0 0
"Gm7538" 0 0 0 0 0 0 0 0
"Gm7550" 0 0 0 0 0 1 0 0
"Gm7609" 0 0 0 0 0 0 0 10
"Gm7616" 0 0 0 0 0 0 0 0
"Gm765" 0 0 0 2 0 0 0 0
"Gm766" 0 0 0 0 0 0 0 0
"Gm7694" 19 1 0 0 175 0 15 1
"Gm7714" 0 0 0 0 0 0 0 0
"Gm773" 0 0 0 0 0 0 0 0
"Gm7788" 1 0 0 0 0 0 1 0
"Gm7849" 0 0 0 0 0 0 0 0
"Gm7854" 0 0 20 0 0 0 0 7
"Gm7861" 0 0 0 0 0 0 0 0
"Gm7903" 0 0 0 0 0 0 0 0
"Gm7904" 0 0 0 0 0 16 0 0
"Gm7977" 4 0 4 1 2 0 1 0
"Gm7978" 0 0 0 0 0 0 0 0
"Gm8013" 0 0 0 1 0 0 0 0
"Gm805" 1 11 0 0 1 0 0 0
"Gm8096" 0 1 1 0 1 1 0 1
"Gm813" 0 0 0 0 0 0 0 0
"Gm815" 0 0 0 0 0 0 0 0
"Gm8179" 0 0 0 0 0 0 0 0
"Gm8221" 0 0 0 0 0 2 0 0
"Gm8234" 0 0 2 0 0 1 1 0
"Gm826" 18 0 17 0 0 0 0 0
"Gm8267" 0 0 0 0 0 0 0 0
"Gm829" 0 0 0 0 0 0 0 0
"Gm8298" 1 0 0 0 0 0 0 0
"Gm8300" 0 0 0 0 0 0 0 1
"Gm833" 0 0 0 0 0 0 0 0
"Gm8363" 0 0 0 0 0 3 0 0
"Gm8369" 0 0 0 0 0 0 0 0
"Gm839" 0 0 0 0 0 0 1 0
"Gm8439" 0 0 0 0 0 0 0 0
"Gm8453" 0 0 0 0 0 0 0 0
"Gm853" 0 0 0 0 1 0 0 0
"Gm8579" 0 0 0 0 0 0 0 0
"Gm8580" 0 15 1 0 1 0 42 0
"Gm8615" 2 0 3 1 3 22 2 0
"Gm8633" 0 0 0 0 0 0 0 0
"Gm8653" 0 0 0 0 0 0 0 0
"Gm8660" 0 0 0 0 0 0 0 0
"Gm867" 8 0 0 0 0 0 0 1
"Gm8677" 0 0 0 0 0 0 0 0
"Gm8693" 0 0 0 0 0 0 0 0
"Gm8709" 0 0 0 0 0 1 0 0
"Gm8720" 0 0 0 0 0 0 0 0
"Gm8764" 0 0 0 0 0 0 0 0
"Gm8765" 0 0 0 0 0 0 0 0
"Gm8773" 49 0 0 64 18 0 34 0
"Gm8787" 0 56 0 0 0 0 0 0
"Gm8801" 1 0 1 1 0 1 0 0
"Gm8817" 0 0 0 0 0 0 0 0
"Gm884" 0 0 0 0 0 0 0 0
"Gm8882" 0 0 0 0 0 0 0 0
"Gm8883" 0 0 0 1 0 1 0 0
"Gm8884" 0 0 0 0 0 0 0 0
"Gm8898" 0 0 0 0 0 0 0 0
"Gm8909" 0 0 0 0 1 0 0 0
"Gm8923" 0 0 0 0 0 0 0 0
"Gm8979" 0 0 0 0 0 0 0 0
"Gm8989" 0 0 0 0 0 0 0 0
"Gm8994" 0 2 3 2 2 2 2 3
"Gm9" 0 0 3 0 0 0 0 0
"Gm904" 0 0 0 0 0 0 0 0
"Gm9047" 0 0 0 1 0 0 8 0
"Gm9054" 0 0 33 0 0 0 0 0
"Gm906" 0 0 0 0 0 0 0 0
"Gm9079" 0 1 1 0 2 0 0 1
"Gm9112" 0 0 0 0 0 0 0 0
"Gm9125" 0 0 0 0 0 0 0 0
"Gm9159" 0 0 0 3 0 25 0 0
"Gm9199" 0 0 0 0 0 0 0 1
"Gm9268" 0 0 0 0 0 0 1 1
"Gm933" 0 0 0 0 1 0 0 0
"Gm9376" 0 0 0 0 0 0 0 0
"Gm94" 0 0 0 0 0 0 0 0
"Gm9513" 0 0 1 0 0 0 0 0
"Gm9573" 1 0 0 0 0 0 0 1
"Gm960" 0 0 0 69 3 1 1 10
"Gm9696" 0 1 0 2 0 0 0 0
"Gm973" 40 20 93 64 227 44 149 83
"Gm9731" 0 0 0 0 0 0 0 2
"Gm9733" 0 1 0 0 0 0 0 0
"Gm9758" 0 0 0 0 0 0 0 0
"Gm9767" 0 0 0 0 0 0 0 0
"Gm9776" 0 38 95 78 34 23 0 109
"Gm9833" 29 11 3 28 30 12 6 18
"Gm9839" 0 0 0 0 0 0 0 0
"Gm9855" 0 0 0 0 0 0 0 0
"Gm9866" 0 0 0 0 0 0 0 0
"Gm9871" 0 0 0 1 0 1 0 0
"Gm9895" 0 0 0 0 0 9 0 1
"Gm9899" 0 0 0 0 0 0 0 0
"Gm9920" 0 0 0 0 0 0 0 0
"Gm9926" 0 0 0 1 0 0 0 0
"Gm9958" 47 114 174 88 14 7 88 149
"Gm996" 0 1 0 59 1 0 0 0
"Gm9961" 0 0 0 0 0 0 0 0
"Gm9962" 0 0 0 0 0 14 51 0
"Gm9992" 2 0 0 0 0 0 0 0
"Gm9994" 1 0 0 0 1 0 0 0
"Gm9999" 0 0 0 0 9 0 0 0
"Gmcl1" 648 425 431 290 303 146 507 514
"Gmcl1l" 0 0 0 0 0 0 0 0
"Gmds" 560 220 318 245 305 229 319 469
"Gmeb1" 270 207 187 74 72 53 52 165
"Gmeb2" 24 48 105 32 56 41 283 35
"Gmfb" 1326 1250 1778 1875 2022 864 2238 1549
"Gmfg" 0 0 0 1 10 0 0 35
"Gmip" 1 1 0 0 0 0 0 0
"Gml" 0 0 0 0 0 0 0 0
"Gml2" 0 0 0 0 0 0 0 0
"Gmnc" 0 2 0 0 0 0 0 0
"Gmnn" 4225 1888 2300 3326 1825 1968 4355 2527
"Gmppa" 314 167 600 358 389 162 394 547
"Gmppb" 322 74 186 127 213 114 570 308
"Gmpr" 29 56 111 0 1 53 102 99
"Gmpr2" 1181 492 1037 510 1072 414 1195 2043
"Gmps" 2737 1719 3230 2012 2246 1076 3076 2440
"Gna11" 1422 549 1318 990 574 783 1234 1249
"Gna12" 216 60 107 60 66 26 49 109
"Gna13" 572 531 512 747 765 597 962 1390
"Gna14" 476 162 135 322 616 594 695 900
"Gna15" 0 0 1 0 0 0 0 0
"Gnai1" 5 105 366 72 69 114 161 438
"Gnai2" 2864 1243 2371 2356 1869 1479 2478 2153
"Gnai3" 1855 1562 1378 867 990 577 1774 600
"Gnal" 56 2 178 0 2 11 0 33
"Gnao1" 411 350 294 178 522 516 849 784
"Gnaq" 511 480 467 264 221 132 346 142
"Gnas" 20568 9352 17632 16796 11673 6153 15952 15454
"Gnat1" 0 0 0 0 0 33 0 0
"Gnat2" 0 0 88 96 0 0 62 0
"Gnat3" 0 0 0 1 0 1 0 0
"Gnaz" 117 16 0 1 25 3 108 84
"Gnb1" 8312 4395 8243 7269 5493 2992 5962 5780
"Gnb1l" 323 141 314 495 223 174 240 476
"Gnb2" 2216 1087 2237 2159 1527 799 2746 1810
"Gnb2l1" 8407 5236 5876 8371 7159 4014 6608 6940
"Gnb3" 0 77 66 17 4 1 0 91
"Gnb4" 240 14 381 32 232 67 585 151
"Gnb5" 323 236 226 643 239 215 680 653
"Gne" 32 146 276 130 91 31 152 5
"Gng10" 4783 2461 2929 3565 3174 1355 3503 2905
"Gng11" 15 34 47 0 104 46 62 117
"Gng12" 677 846 489 1103 1198 668 1339 658
"Gng13" 3 0 0 0 0 2 5 0
"Gng2" 1086 557 917 1085 491 422 529 521
"Gng3" 478 196 485 622 122 253 665 200
"Gng4" 62 32 0 1 94 0 0 0
"Gng5" 3342 2252 2138 3206 3655 1766 4028 4969
"Gng7" 55 0 47 0 0 1 71 0
"Gng8" 1 0 0 0 8 0 0 11
"Gngt1" 0 0 0 0 0 0 0 0
"Gngt2" 0 0 0 11 0 0 0 0
"Gnl1" 511 359 765 725 438 256 755 444
"Gnl2" 1415 660 1921 1230 670 347 772 488
"Gnl3" 2364 2250 2569 1851 1969 1486 2549 2932
"Gnl3l" 295 196 198 294 354 143 592 287
"Gnmt" 14 0 0 0 2 1 32 0
"Gnpat" 873 344 1532 651 801 356 1082 1043
"Gnpda1" 580 206 815 676 158 186 560 302
"Gnpda2" 1885 1097 1847 1430 1438 696 1988 2764
"Gnpnat1" 1030 369 572 549 532 270 570 791
"Gnptab" 122 191 89 42 69 104 159 88
"Gnptg" 998 531 873 801 939 408 798 703
"Gnrh1" 0 8 69 6 1 0 23 0
"Gnrhr" 0 0 0 0 0 1 0 1
"Gns" 170 44 79 154 215 230 125 288
"Golga1" 465 300 374 461 107 161 352 295
"Golga2" 13 94 43 177 3 32 60 62
"Golga3" 166 94 137 224 37 48 55 0
"Golga4" 624 607 491 338 550 209 171 579
"Golga5" 870 645 671 601 858 148 1335 825
"Golga7" 3706 1211 2677 2142 1859 1170 2541 2584
"Golga7b" 0 0 6 0 0 0 0 0
"Golgb1" 728 725 678 467 454 458 722 766
"Golim4" 1042 838 980 259 415 301 602 634
"Golm1" 772 364 1064 500 449 389 648 679
"Golph3" 202 560 690 359 220 380 411 500
"Golph3l" 635 345 473 612 225 354 842 922
"Golt1a" 0 18 0 0 0 0 0 0
"Golt1b" 671 241 555 754 672 209 664 739
"Gon4l" 152 62 162 124 21 27 190 84
"Gopc" 264 173 143 32 185 132 19 136
"Gorab" 379 419 241 323 228 170 539 605
"Gorasp1" 42 121 26 208 178 74 100 0
"Gorasp2" 1671 1029 1171 2110 1157 319 1263 1393
"Gosr1" 667 448 267 282 335 262 331 333
"Gosr2" 1050 491 947 134 328 252 618 509
"Got1" 755 407 816 923 326 317 312 560
"Got1l1" 0 0 0 0 0 0 0 1
"Got2" 368 87 191 150 279 49 120 224
"Gp1ba" 0 0 0 0 0 3 0 43
"Gp1bb" 0 0 0 0 0 0 0 0
"Gp2" 0 0 0 0 0 0 0 1
"Gp5" 0 0 0 0 0 0 0 0
"Gp6" 0 0 0 0 0 0 0 1
"Gp9" 0 0 0 0 0 0 0 0
"Gpa33" 0 0 0 1 0 0 0 0
"Gpaa1" 923 221 957 486 1208 408 852 997
"Gpalpp1" 509 343 190 327 151 349 165 77
"Gpam" 19 37 1 59 2 6 41 9
"Gpank1" 549 271 301 374 213 55 360 229
"Gpat2" 0 0 0 0 0 0 0 0
"Gpatch1" 152 117 454 15 63 141 40 503
"Gpatch11" 1457 661 546 615 786 490 1360 582
"Gpatch2" 107 72 347 130 243 319 202 51
"Gpatch2l" 156 35 46 155 86 103 97 100
"Gpatch3" 127 98 0 0 98 0 119 150
"Gpatch4" 847 566 561 863 380 236 501 433
"Gpatch8" 894 852 794 436 799 467 647 411
"Gpbar1" 0 0 0 0 1 0 0 0
"Gpbp1" 2850 1412 3206 2356 2164 1033 3885 3115
"Gpbp1l1" 222 144 253 134 192 239 303 217
"Gpc1" 322 237 213 526 126 143 831 422
"Gpc2" 3 25 29 100 2 7 34 1
"Gpc3" 0 1 0 0 0 1 0 0
"Gpc4" 0 56 37 0 67 49 197 200
"Gpc5" 0 0 112 1 1 4 78 22
"Gpc6" 111 88 206 92 171 210 191 77
"Gpcpd1" 1991 994 1188 908 1543 1139 763 1139
"Gpd1" 1634 457 598 481 361 207 343 399
"Gpd1l" 128 66 147 368 123 26 1 158
"Gpd2" 173 222 615 423 278 201 388 54
"Gper1" 71 1 0 98 140 0 75 0
"Gpha2" 0 0 0 0 0 0 0 0
"Gphb5" 0 1 0 0 0 0 0 0
"Gphn" 732 244 270 292 308 362 431 329
"Gpi1" 1274 792 1368 1291 966 859 2111 1769
"Gpihbp1" 0 0 0 0 0 0 0 0
"Gpkow" 616 416 608 549 324 221 619 240
"Gpld1" 74 9 32 63 175 58 78 43
"Gpm6a" 4941 2209 3799 5574 6051 1995 6580 4270
"Gpm6b" 8141 5703 7553 7334 10275 5621 12253 11257
"Gpn1" 1846 1460 1907 2064 1087 639 1501 1428
"Gpn2" 270 182 254 582 251 88 214 407
"Gpn3" 1030 761 1207 1160 773 399 962 1355
"Gpnmb" 1 1 0 0 0 0 1 0
"Gpr1" 0 0 87 0 0 0 0 0
"Gpr101" 0 0 0 0 0 0 1 0
"Gpr107" 87 46 245 167 52 165 131 43
"Gpr108" 372 48 99 91 9 147 525 140
"Gpr119" 0 1 0 0 0 0 0 0
"Gpr12" 0 2 0 0 0 1 0 0
"Gpr132" 0 0 0 1 0 0 0 0
"Gpr135" 0 0 1 0 0 0 0 0
"Gpr137" 83 14 6 7 15 11 68 100
"Gpr137b" 223 162 159 87 123 77 225 166
"Gpr137b-ps" 213 28 204 13 164 145 53 144
"Gpr137c" 23 12 84 98 33 0 0 66
"Gpr139" 0 0 0 0 0 0 0 0
"Gpr141" 0 0 0 0 1 0 0 0
"Gpr142" 0 0 0 0 0 26 0 0
"Gpr143" 0 0 0 0 11 0 0 0
"Gpr146" 1 0 0 74 0 1 78 206
"Gpr149" 0 0 0 0 0 0 0 0
"Gpr15" 0 0 0 0 0 0 0 0
"Gpr150" 0 4 0 0 0 0 0 0
"Gpr151" 0 0 0 0 0 0 0 0
"Gpr152" 1 0 1 0 0 0 0 0
"Gpr153" 1 1 0 0 1 16 0 0
"Gpr155" 23 10 0 1 0 1 0 3
"Gpr156" 0 0 4 3 90 0 1 57
"Gpr157" 0 0 0 0 2 0 0 2
"Gpr158" 1 1 0 0 0 0 0 1
"Gpr160" 0 0 0 0 0 0 0 0
"Gpr161" 0 0 0 1 0 0 1 2
"Gpr162" 35 1 1 0 16 5 0 1
"Gpr165" 0 22 0 0 0 0 0 0
"Gpr17" 2 0 0 0 0 0 0 0
"Gpr171" 4 37 105 110 8 8 29 1
"Gpr173" 8 0 34 9 1 0 0 15
"Gpr174" 0 0 0 0 0 0 0 0
"Gpr176" 0 0 0 0 0 0 0 0
"Gpr179" 0 0 1 1 0 0 0 2
"Gpr18" 0 0 0 0 0 0 4 0
"Gpr180" 697 495 804 739 676 306 353 730
"Gpr182" 0 0 0 0 0 0 0 0
"Gpr183" 57 0 1 1 0 62 0 0
"Gpr19" 775 473 810 513 840 338 889 1014
"Gpr20" 0 0 0 0 0 0 0 0
"Gpr21" 4 59 0 0 12 0 6 97
"Gpr22" 1 0 0 0 0 0 0 1
"Gpr25" 0 0 0 0 0 0 0 0
"Gpr26" 0 0 0 0 0 0 1 0
"Gpr27" 0 13 1 0 0 0 0 24
"Gpr3" 0 0 0 0 0 0 0 0
"Gpr31b" 0 0 0 0 0 0 0 0
"Gpr33" 1 0 0 0 0 0 1 0
"Gpr34" 0 70 0 0 0 48 0 1
"Gpr35" 1 1 0 81 0 0 0 0
"Gpr37" 0 21 66 0 135 0 92 151
"Gpr37l1" 1291 847 721 1427 2031 668 1453 3076
"Gpr39" 0 0 0 0 0 0 0 0
"Gpr4" 0 0 2 0 7 7 0 95
